real_word_len_list,fake_word_len_list,ai_word_len_list,real_sentence_len_list,fake_sentence_len_list,ai_sentence_len_list,real_article_len_list,fake_article_len_list,ai_article_len_list,real_no_verifiable_facts,fake_no_verifiable_facts,ai_no_verifiable_facts
2.0,3,2.0,30.0,34.0,25.0,,,,,,
11.0,6,11.0,54.0,32.0,24.0,,,,,,
4.0,8,3.0,10.0,46.0,18.0,,,,,,
4.0,5,6.0,10.0,31.0,20.0,,,,,,
1.0,9,2.0,24.0,26.0,21.0,,,,,,
2.0,2,8.0,29.0,49.0,33.0,,,,,,
2.0,5,3.0,20.0,37.0,23.0,,,,,,
6.0,7,8.0,26.0,52.0,16.0,,,,,,
5.0,7,3.0,2.0,56.0,17.0,,,,,,
4.0,16,8.0,35.0,104.0,18.0,,,,,,
2.0,3,7.0,34.0,36.0,21.0,,,,,,
1.0,7,4.0,38.0,8.0,19.0,,,,,,
5.0,4,3.0,22.0,11.0,14.0,,,,,,
2.0,11,3.0,28.0,18.0,25.0,,,,,,
3.0,3,1.0,19.0,25.0,19.0,,,,,,
1.0,9,6.0,5.0,37.0,25.0,,,,,,
3.0,2,6.0,26.0,32.0,22.0,,,,,,
1.0,3,2.0,27.0,25.0,35.0,,,,,,
1.0,4,4.0,20.0,25.0,26.0,,,,,,
4.0,2,2.0,18.0,12.0,18.0,,,,,,
6.0,2,8.0,32.0,5.0,31.0,,,,,,
4.0,11,10.0,22.0,8.0,35.0,,,,,,
1.0,3,10.0,13.0,5.0,26.0,,,,,,
2.0,5,8.0,34.0,12.0,35.0,,,,,,
3.0,4,2.0,42.0,12.0,42.0,,,,,,
4.0,2,7.0,42.0,10.0,26.0,,,,,,
7.0,2,9.0,29.0,13.0,18.0,,,,,,
9.0,7,3.0,43.0,29.0,21.0,,,,,,
2.0,1,5.0,24.0,12.0,18.0,,,,,,
9.0,1,6.0,23.0,11.0,25.0,,,,,,
2.0,8,2.0,36.0,14.0,22.0,,,,,,
7.0,1,2.0,38.0,40.0,21.0,,,,,,
2.0,9,7.0,39.0,21.0,31.0,,,,,,
3.0,2,7.0,27.0,16.0,25.0,,,,,,
